메인 키,명칭,행정 시,행정 구,행정 동,전화번호,위도,경도
BE_LiST39-0022,Wontongsa Temple,Seoul,Dobong-gu,Dobong1-dong,02-954-9944,37.6830556,127.0108333
BE_LiST39-0023,Cheonchuksa Temple,Seoul,Dobong-gu,Dobong1-dong,02-954-1474,37.6942514,127.0193795
BE_LiST39-0024,Manworam Hermitage,Seoul,Dobong-gu,Dobong1-dong,02-955-3719,37.6970751,127.0185452
BE_LiST39-0025,Cheongnyangsa Temple,Seoul,Dongdaemun-gu,Jegi-dong,02-967-2743,37.5882001,127.0477399
BE_LiST39-0026,Yeonhwasa Temple,Seoul,Dongdaemun-gu,Hoegi-dong,02-962-6186,37.5942549,127.0503783
BE_LiST39-0027,Jijangsa Temple,Seoul,Dongjak-gu,Sadang2-dong,02-814-5257,37.4986985,126.9647546
BE_LiST39-0028,Sajaam Hermitage,Seoul,Dongjak-gu,Sangdo3-dong,02-825-1046,37.493775,126.936305
BE_LiST39-0029,Dalmasa Temple,Seoul,Dongjak-gu,Sadang2-dong,02-815-2746,37.4987373,126.9624452
BE_LiST39-0030,Okcheonam Hermitage,Seoul,Seodaemun-gu,Hongeun1-dong,02-395-4031,37.5969852,126.9542463
BE_LiST39-0031,Bongwonsa Temple,Seoul,Seodaemun-gu,Sinchon-dong,02-392-3007,37.5719909,126.947403
BE_LiST39-0032,Daeseongsa Temple,Seoul,Seocho-gu,Seocho3-dong,02-583-1475,37.4735474,127.0466599
BE_LiST39-0033,Mitasa Temple,Seoul,Seongdong-gu,Oksu-dong,02-2297-4578,37.544823,127.016718
BE_LiST39-0034,Heungcheonsa Temple,Seoul,Seongbuk-gu,Donam2-dong,02-929-6611,37.5982779,127.0092313
BE_LiST39-0035,Jeokjosa Temple,Seoul,Seongbuk-gu,Donam2-dong,02-924-5362,37.5983648,127.0074102
BE_LiST39-0036,Mitasa Temple,Seoul,Seongbuk-gu,Samseon-dong,02-925-0435,37.5852177,127.0161295
BE_LiST39-0037,Bomunsa Temple,Seoul,Seongbuk-gu,Bomun-dong,02-928-3797,37.5844222,127.0159375
BE_LiST39-0038,Jeongbeobsa Temple,Seoul,Seongbuk-gu,Seongbuk-dong,02-762-0774,37.6017252,126.9910228
BE_LiST39-0039,Gaeunsa Temple,Seoul,Seongbuk-gu,Dongseon-dong,02-926-4069,37.5900323,127.0281116
BE_LiST39-0040,Bongguksa Temple,Seoul,Seongbuk-gu,Jeongneung2-dong,02-919-0211,37.6051695,127.0059102
BE_LiST39-0041,Gyeongguksa Temple,Seoul,Seongbuk-gu,Jeongneung3-dong,02-914-5447,37.6146027,127.0045638
BE_LiST39-0042,Naewonsa Temple,Seoul,Seongbuk-gu,Jeongneung4-dong,02-941-2011,37.6264855,126.9943973
BE_LiST39-0043,Suguksa Temple,Seoul,Eunpyeong-gu,Galhyeon2-dong,02-356-2001,37.615944,126.905059
BE_LiST39-0044,jingwansa Temple,Seoul,Eunpyeong-gu,Galhyeon1-dong,02-359-8410,37.6381361,126.9466088
BE_LiST39-0045,Samcheonsa Temple,Seoul,Eunpyeong-gu,Nokbeon-dong,02-353-3004,37.6422631,126.9524592
BE_LiST39-0046,Yongamsa Temple,Seoul,Eunpyeong-gu,Jingwan-dong,02-387-3216,37.651162,126.9552281
BE_LiST39-0047,Jogyesa Temple,Seoul,Jongno-gu,Jongno1.2.3.4ga-dong,02-768-8600,37.5743716,126.9826498
BE_LiST39-0048,Geumseonsa Temple,Seoul,Jongno-gu,Pyeongchang-dong,02-395-9911,37.6205778,126.9533792
BE_LiST39-0049,Seunggasa Temple,Seoul,Jongno-gu,Pyeongchang-dong,02-379-2996,37.6312768,126.9726071
BE_LiST39-0050,Munsusa Temple,Seoul,Jongno-gu,Pyeongchang-dong,02-391-2062,37.6312799,126.9726031
BE_LiST39-0051,Inwangsa Temple,Seoul,Jongno-gu,Muak-dong,02-737-4434,37.6312768,126.9726071
BE_LiST39-0052,Daegaksa Temple,Seoul,Jongno-gu,Jongno1.2.3.4ga-dong,02-765-0972,37.5736214,126.9918747
BE_LiST39-0053,Cheongryongsa Temple,Seoul,Jongno-gu,Sungin1-dong,02-763-4031,37.5798117,127.0165765
BE_LiST39-0054,Myogaksa Temple,Seoul,Jongno-gu,Sungin1-dong,02-763-3345,37.5754233,127.0187431
BE_LiST39-0055,Gamnoam Hermitage,Seoul,Jongno-gu,Jongno5.6ga-dong,02-762-5861,37.5755469,127.008611
BE_LiST39-0056,Ilseonsa Temple,Seoul,Jongno-gu,Pyeongchang-dong,02-379-8697,37.6280071,126.9770991
BE_LiST39-0057,Sorim Temple,Seoul,Jongno-gu,Buam-dong,02-394-2145,37.6012246,126.9589704
BE_LiST39-0058,Anyangam Hermitage,Seoul,Jongno-gu,Changsin1-dong,02-744-6923,37.5753955,127.0133825
